[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-100, -90, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10152, -1080, -47]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10233, -5306, -378]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1026, -108, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1026, -209, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1026, -95, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10350, -2277, -22]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1053, -90, -26]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1071, -816, -16]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-107289, -11790, -130]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10746, -2189, -198]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-108, -10, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-108, -12, -11]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-108, -22, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-108, -56, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-108, -6, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-108, -68, -27]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-108, -8, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-108, -9, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1089, -110, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1098, -61, -60]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-10989, -1110, -110]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-11, -9, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-110, -99, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1102, -1044, -57]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-11169, -730, -510]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-112, -63, -48]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1134, -105, -20]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1134, -90, -35]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-114, -19, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-114, -36, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1140, -360, -19]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-11466, -1260, -13]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-115, -69, -45]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1161, -602, -42]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-11664, -1215, -80]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-117, -10, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-117, -63, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-117, -90, -52]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-11700, -2574, -25]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-11790, -5109, -130]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1188, -120, -11]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-12222, -1260, -97]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1224, -680, -135]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-12285, -1350, -14]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-123, -36, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1230, -369, -40]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1242, -135, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1242, -253, -22]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1242, -92, -45]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-124200, -27324, -275]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-126, -10, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-126, -12, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-126, -27, -14]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-126, -42, -13]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-126, -7, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-126, -9, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-126, -96, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1260, -364, -195]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1260, -468, -91]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1260, -546, -13]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1269, -135, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1287, -792, -208]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1296, -135, -8]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-13, -9, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-130, -117, -12]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-130, -90, -39]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-133, -114, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-133, -126, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1333, -774, -558]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-135, -80, -24]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-135, -9, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1350, -297, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1365, -364, -90]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1377, -135, -17]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-138, -46, -45]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-138, -90, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-14, -9, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1404, -135, -20]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1404, -90, -65]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-144, -10, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-144, -22, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-144, -63, -16]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-144, -72, -7]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1440, -220, -99]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1440, -264, -55]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1449, -115, -45]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1449, -90, -70]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-14634, -1355, -270]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1476, -123, -40]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-148, -111, -36]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1485, -110, -54]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1485, -770, -54]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-149877, -16470, -182]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-150, -40, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-150, -45, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1512, -1224, -119]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1512, -140, -27]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1512, -308, -27]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-153, -10, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-153, -102, -16]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-153, -15, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-156, -90, -13]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1584, -120, -55]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1584, -160, -15]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1584, -165, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-16, -9, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-160, -144, -15]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-16092, -3278, -297]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-162, -12, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-162, -15, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-162, -33, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-16254, -945, -860]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1638, -180, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1638, -286, -77]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1638, -91, -90]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-16416, -1728, -95]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-16434, -1660, -165]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-165, -110, -54]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-16539, -5364, -148]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1656, -1080, -23]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1674, -155, -30]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1674, -180, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-171, -54, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1728, -416, -351]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1728, -896, -63]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1755, -324, -260]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-17577, -1890, -62]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-17649, -1590, -370]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-18, -12, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-18, -18, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-18, -2, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-18, -6, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-18, -7, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-18, -9, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-180, -10, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-180, -15, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-180, -18, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-180, -180, -19]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-180, -54, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-180, -78, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1810, -1629, -180]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1827, -1392, -28]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1836, -135, -68]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1836, -374, -33]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1836, -396, -11]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-187, -153, -33]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1881, -190, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1881, -198, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-18864, -1440, -655]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-189, -10, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-189, -14, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-189, -140, -90]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-189, -144, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-189, -15, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-189, -18, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-189, -98, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1890, -189, -20]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-19, -9, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-190, -171, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-190, -180, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-190854, -20745, -460]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1909, -1494, -414]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1944, -135, -80]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-19458, -2115, -46]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-19701, -1990, -198]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-198, -11, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-198, -153, -22]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-198, -20, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-198, -54, -11]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1989, -130, -90]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-1998, -185, -36]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-20, -10, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-20, -18, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2016, -160, -63]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-207, -144, -16]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2070, -225, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-210, -189, -20]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-216, -112, -7]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-216, -15, -8]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-216, -18, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-216, -20, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-216, -36, -11]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-216, -44, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-216, -63, -56]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2185, -2070, -114]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-22, -12, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-22, -18, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-220, -120, -99]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-22113, -2430, -26]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-222, -37, -36]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-222, -72, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2223, -702, -38]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-225, -54, -20]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2268, -216, -35]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2277, -230, -22]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-22950, -5049, -50]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-23184, -2415, -160]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-232, -144, -87]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-234, -13, -12]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-234, -15, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-234, -20, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2340, -234, -25]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-238, -153, -84]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2430, -1053, -26]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2448, -255, -16]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2457, -182, -90]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2457, -270, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-247950, -54549, -550]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2484, -230, -45]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2484, -270, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-25, -15, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-25, -18, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-252, -140, -27]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-252, -20, -7]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-252, -33, -22]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-252, -44, -11]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-252, -56, -27]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-2520, -504, -55]]
